[2025-09-06--02-51-01 INFO actix_server::builder] starting 5 workers
[2025-09-06--02-51-01 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2025-09-06--02-51-01 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2025-09-06--02-51-03 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2025-09-06--02-51-04 INFO txtx::svm::deploy_program] Failure Recovery Info - An ephemeral authority account will be created and funded to write to the buffer account.
[2025-09-06--02-51-04 INFO txtx::svm::deploy_program] Failure Recovery Info - Please save the following information in case the deployment fails and the account needs to be recovered:
[2025-09-06--02-51-04 INFO txtx::svm::deploy_program] Failure Recovery Info - Ephemeral authority public key: 4SvKsXwExkzLykXa2B7hTximvsLo8o2oRMYvWtuv94jb
[2025-09-06--02-51-04 INFO txtx::svm::deploy_program] Failure Recovery Info - Ephemeral authority secret key: 3HbaM81BhraszzZnZ6KTfp35Q5i7tdcT3vsEFYxLGENPtNEZL7aXj1tcwtztfqrET6uGEuQq5K9RUHBVHqKb9sSH
[2025-09-06--02-51-04 INFO txtx::svm::deploy_program] Account Created - Ephemeral authority account created and funded to write to buffer
[2025-09-06--02-51-04 INFO txtx::svm::deploy_program] Failure Recovery Info - Creating program buffer account at pubkey 5giJZbhuSE9fsBzsXQHfDeECpQf23y2EMCEkpujXunQs
[2025-09-06--02-51-04 INFO txtx::svm::deploy_program] Account Created - Program buffer account created
[2025-09-06--02-51-47 INFO txtx::svm::deploy_program] Buffer Ready - Writing to buffer account is complete
[2025-09-06--02-51-49 INFO txtx::svm::deploy_program] Program Created - Program AZW2pKHGYu23m6VTgGgHE9jaRPo1qbJVWp3jXptJKNSg has been deployed
[2025-09-06--02-51-50 INFO txtx::svm::deploy_program] Complete - Ephemeral authority account closed and leftover funds returned to payer
[2025-09-06--02-52-29 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60422.
[2025-09-06--02-52-31 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60434.
[2025-09-06--02-52-32 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60448.
[2025-09-06--02-52-33 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60452.
[2025-09-06--02-52-37 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60468.
[2025-09-06--02-52-37 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:60472.
[2025-09-06--02-53-15 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47338.
[2025-09-06--02-53-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47352.
[2025-09-06--02-53-18 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42924.
[2025-09-06--02-53-19 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42926.
[2025-09-06--02-53-20 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42934.
[2025-09-06--02-53-21 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42944.
[2025-09-06--02-55-02 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41198.
[2025-09-06--02-55-03 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41206.
[2025-09-06--02-55-04 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41212.
[2025-09-06--02-55-05 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41222.
[2025-09-06--02-55-06 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41238.
[2025-09-06--02-55-06 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:41254.
[2025-09-06--02-59-22 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43822.
[2025-09-06--02-59-24 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43826.
[2025-09-06--02-59-25 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43838.
[2025-09-06--02-59-26 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43840.
[2025-09-06--02-59-26 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43854.
[2025-09-06--02-59-27 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43856.
[2025-09-06--02-59-59 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49960.
[2025-09-06--03-00-00 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49974.
[2025-09-06--03-00-01 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49980.
[2025-09-06--03-00-02 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49992.
[2025-09-06--03-00-03 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50008.
[2025-09-06--03-00-03 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50022.
[2025-09-06--03-00-37 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:37966.
[2025-09-06--03-00-39 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48736.
[2025-09-06--03-00-40 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48750.
[2025-09-06--03-00-41 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48754.
[2025-09-06--03-00-42 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48768.
[2025-09-06--03-00-42 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:48772.
[2025-09-06--03-02-42 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42316.
[2025-09-06--03-02-44 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42330.
[2025-09-06--03-02-45 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42332.
[2025-09-06--03-02-46 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42342.
[2025-09-06--03-02-47 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42352.
[2025-09-06--03-02-47 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:42368.
[2025-09-06--03-02-57 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58560.
[2025-09-06--03-02-59 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50768.
[2025-09-06--03-03-00 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50776.
[2025-09-06--03-03-01 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50790.
[2025-09-06--03-03-01 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50800.
[2025-09-06--03-03-02 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:50802.
[2025-09-06--03-23-36 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53220.
[2025-09-06--03-23-37 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53226.
[2025-09-06--03-23-38 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:52192.
[2025-09-06--03-25-39 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39836.
[2025-09-06--03-25-40 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39850.
[2025-09-06--03-25-42 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39854.
[2025-09-06--03-25-43 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39866.
[2025-09-06--03-25-43 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39876.
[2025-09-06--03-25-44 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:39880.
[2025-09-06--03-28-09 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45824.
[2025-09-06--03-28-11 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45832.
[2025-09-06--03-28-12 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45840.
[2025-09-06--03-28-13 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45850.
[2025-09-06--03-28-14 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45862.
[2025-09-06--03-28-14 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:45866.
[2025-09-06--03-28-35 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:55230.
[2025-09-06--03-28-37 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:55234.
[2025-09-06--03-28-38 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:46988.
[2025-09-06--03-28-39 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:46996.
[2025-09-06--03-28-39 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47002.
[2025-09-06--03-28-40 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47004.
[2025-09-06--03-29-22 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53948.
[2025-09-06--03-29-24 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53956.
[2025-09-06--03-29-25 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53958.
[2025-09-06--03-29-27 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53964.
[2025-09-06--03-29-27 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53976.
[2025-09-06--03-29-28 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:33424.
[2025-09-06--03-32-28 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43254.
[2025-09-06--03-32-30 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43258.
[2025-09-06--03-32-31 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43274.
[2025-09-06--03-32-32 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43288.
[2025-09-06--03-32-33 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43302.
[2025-09-06--03-32-34 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43314.
[2025-09-06--08-01-08 INFO actix_server::worker] shutting down idle worker
[2025-09-06--08-01-08 INFO actix_server::worker] shutting down idle worker
[2025-09-06--08-01-08 INFO actix_server::worker] shutting down idle worker
[2025-09-06--08-01-08 INFO actix_server::worker] shutting down idle worker
[2025-09-06--08-01-08 INFO actix_server::accept] accept thread stopped
[2025-09-06--08-01-08 INFO actix_server::worker] shutting down idle worker
