[2025-09-06--09-46-58 INFO actix_server::builder] starting 5 workers
[2025-09-06--09-46-58 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2025-09-06--09-46-58 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2025-09-06--09-47-00 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2025-09-06--09-47-01 INFO txtx::svm::deploy_program] Failure Recovery Info - An ephemeral authority account will be created and funded to write to the buffer account.
[2025-09-06--09-47-01 INFO txtx::svm::deploy_program] Failure Recovery Info - Please save the following information in case the deployment fails and the account needs to be recovered:
[2025-09-06--09-47-01 INFO txtx::svm::deploy_program] Failure Recovery Info - Ephemeral authority public key: 9ViSaufs58zotjMn1LDgAq5vBBeVLkPrTRosxVppneft
[2025-09-06--09-47-01 INFO txtx::svm::deploy_program] Failure Recovery Info - Ephemeral authority secret key: 5FB89mkNAZ9kQ6bBrnbGuZeib35fniNyGLbvA2eTXPMV5bGAHSPRXBMbg31xMhw7kGdrg5CKphfmkwf1sUVEfDvi
[2025-09-06--09-47-01 INFO txtx::svm::deploy_program] Account Created - Ephemeral authority account created and funded to write to buffer
[2025-09-06--09-47-01 INFO txtx::svm::deploy_program] Failure Recovery Info - Creating program buffer account at pubkey 33MNNp1T8ZVBkR9cE9K9kbRHuJoM9tnU2FbrodrJX3xR
[2025-09-06--09-47-01 INFO txtx::svm::deploy_program] Account Created - Program buffer account created
[2025-09-06--09-47-56 INFO txtx::svm::deploy_program] Buffer Ready - Writing to buffer account is complete
[2025-09-06--09-47-56 INFO txtx::svm::deploy_program] Program Created - Program AZW2pKHGYu23m6VTgGgHE9jaRPo1qbJVWp3jXptJKNSg has been deployed
[2025-09-06--09-47-57 INFO txtx::svm::deploy_program] Complete - Ephemeral authority account closed and leftover funds returned to payer
[2025-09-06--09-50-09 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40900.
[2025-09-06--09-50-11 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40916.
[2025-09-06--09-50-12 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40930.
[2025-09-06--09-50-13 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40932.
[2025-09-06--09-50-14 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40946.
[2025-09-06--09-50-14 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:40954.
[2025-09-06--09-57-16 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:47504.
[2025-09-06--09-57-17 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53344.
[2025-09-06--09-57-28 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:46784.
[2025-09-06--09-57-30 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:46792.
[2025-09-06--09-57-32 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:46796.
